Node	OutDegree
0	1.0
100000	1.0
100002	1.0
100003	1.0
100004	1.0
10000	1.0
100006	2.0
100008	1.0
100010	1.8
100011	1.0
10001	2.0
100014	1.5
10001	1.0
100015	1.0
100018	1.0
100021	1.0
100022	1.0
100023	1.0
100024	1.0
100025	1.0
10002	1.0
100028	1.0
100030	2.0
10003	1.5
100032	1.0
1000	1.0
100033	1.0
100034	2.0
10003	2.5
100035	1.0
100037	1.0
100038	1.25
100040	1.0
100044	1.0
10004	1.0
100045	1.0
100047	2.0
100049	2.0
100050	1.0
10005	1.0
100052	1.0
10005	2.0
100053	1.0
10005	2.0
100055	2.0
100056	1.0
100058	2.0
100060	1.0
100061	2.0
100062	2.0
100064	2.0
10006	1.0
100065	1.0
100067	2.0
100068	1.0
100070	1.0
100071	1.0
100072	1.0
100074	1.0
10007	2.0
100075	2.5
100076	2.0
100077	1.0
100080	1.3333333333333333
100081	2.0
100082	2.0
100083	1.5
100084	1.0
100086	1.0
100089	2.0
100090	1.0
100091	2.0
100092	2.0
100093	1.0
100094	1.0
10009	1.0
100096	1.0
100099	1.0
100101	1.0
100103	1.0
10010	1.0
100105	3.0
100106	1.0
100108	1.0
100109	2.0
100110	2.0
100111	2.0
100113	2.0
100114	1.0
10011	1.0
100116	2.0
100117	3.0
100118	1.5
100119	1.0
100120	1.0
100121	1.0
100122	1.0
100123	2.0
100124	1.0
100128	1.0
100130	1.0
100131	1.0
100132	1.0
100134	1.0
10013	1.0
100136	1.0
100139	1.0
100140	1.0
100141	1.0
100	1.0
100142	1.0
10014	1.0
100145	1.5
100146	1.0
100148	2.0
10015	2.0
100152	1.0
10015	2.0
100153	1.0
100154	1.0
100155	1.0
10015	2.0
100157	2.0
100158	1.0
100160	2.0
100161	1.0
100162	1.0
100163	1.0
10016	1.0
100165	1.0
100166	2.0
100167	2.0
100169	1.0
100	1.0
100171	2.0
10017	1.0
100173	1.0
10017	2.0
100175	1.0
100176	1.0
100177	2.0
100179	1.0
100180	2.0
100181	1.0
10018	2.0
100183	1.0
100184	1.0
10018	1.0
100185	1.0
100186	1.0
100188	1.0
100189	1.5
100190	1.0
100192	1.0
10019	1.0
100196	1.0
100197	1.0
100202	1.0
100204	1.0
100206	1.0
100209	1.0
100210	1.0
100211	1.0
100212	1.0
100213	1.0
100214	1.0
100215	1.0
100216	1.0
100217	1.0
100221	1.0
100222	1.0
100223	2.0
100224	1.0
100225	1.0
100	1.0
100227	1.0
100228	1.0
100229	1.0
100230	1.0
100231	1.0
100232	1.8333333333333333
1002	2.0
10023	4.0
100	1.0
10023	1.0
100	1.0
100235	1.0
100236	1.0
100237	1.0
100239	2.0
100240	2.0
100241	1.0
100243	1.0
100244	1.0
10024	1.0
100245	1.0
100247	1.0
100250	1.0
100	1.0
100252	2.5
100253	2.0
100255	1.5
100256	2.0
100258	1.0
100259	1.0
100260	3.0
100261	1.0
10026	1.0
100263	1.0
10026	1.0
100265	1.0
100266	1.0
100267	1.0
100269	1.0
100272	1.0
100273	1.0
100276	1.0
100278	1.0
100279	2.0
100280	1.0
100281	1.0
100282	1.0
100283	1.0
100284	1.0
10028	1.0
100285	1.0
100286	1.0
100287	1.0
100290	1.0
100292	1.0
100293	2.0
10029	1.0
100295	1.0
100297	2.0
100298	2.0
100299	1.0
100300	1.0
100301	1.0
100303	1.25
100304	1.0
